trial,subID,sim_choice,sim_attack,k
1,48,"[7, 7, 7, 8, 8, 7, 8, 7, 7, 8]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1
1,49,"[2, 4, 5, 1, 5, 4, 1, 5, 2, 3]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,50,"[5, 5, 5, 6, 6, 5, 7, 6, 7, 3]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",1
1,51,"[1, 5, 3, 6, 3, 4, 4, 5, 6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,52,"[4, 4, 5, 6, 3, 2, 5, 5, 3, 3]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",1
1,53,"[3, 1, 3, 6, 4, 2, 1, 3, 4, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1
1,54,"[5, 5, 4, 4, 6, 5, 6, 4, 7, 4]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",1
1,55,"[7, 5, 6, 3, 7, 6, 6, 6, 5, 6]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",1
1,56,"[8, 1, 3, 5, 5, 6, 4, 5, 4, 2]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",1
1,57,"[7, 7, 7, 7, 7, 9, 7, 7, 7, 9]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1
1,58,"[6, 6, 7, 6, 5, 5, 7, 5, 7, 6]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1
1,59,"[8, 6, 6, 6, 6, 5, 7, 7, 6, 7]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",1
1,60,"[4, 5, 1, 4, 4, 4, 7, 5, 7, 6]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1
1,61,"[5, 5, 2, 4, 2, 4, 4, 6, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,62,"[1, 8, 7, 4, 5, 4, 4, 5, 2, 3]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,63,"[8, 7, 6, 5, 7, 4, 7, 5, 6, 7]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,64,"[7, 8, 8, 7, 7, 6, 7, 5, 8, 6]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",1
1,65,"[1, 3, 3, 5, 6, 7, 6, 3, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,66,"[8, 8, 6, 7, 6, 7, 8, 8, 7, 9]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1
1,67,"[8, 6, 6, 6, 6, 7, 8, 6, 3, 6]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,68,"[3, 3, 1, 4, 2, 3, 3, 2, 5, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
