trial,subID,sim_choice,sim_attack,k
1,48,"[5, 2, 8, 6, 8, 5, 6, 7, 7, 8]","[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",1
1,49,"[4, 6, 6, 6, 3, 5, 6, 6, 4, 6]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1
1,50,"[3, 4, 7, 4, 4, 5, 6, 7, 4, 4]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",1
1,51,"[8, 7, 8, 7, 8, 7, 8, 7, 6, 7]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,52,"[5, 8, 6, 6, 6, 6, 5, 4, 6, 6]","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",1
1,53,"[6, 7, 6, 7, 5, 3, 5, 7, 7, 5]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,54,"[6, 6, 6, 7, 5, 4, 6, 8, 6, 6]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0]",1
1,55,"[3, 2, 7, 5, 6, 5, 5, 5, 7, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",1
1,56,"[3, 6, 5, 8, 6, 2, 6, 5, 4, 6]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1
1,57,"[8, 6, 7, 7, 7, 8, 8, 8, 6, 7]","[0, 0, 1, 1, 0, 1, 0, 1, 1, 1]",1
1,58,"[8, 7, 8, 7, 5, 3, 6, 7, 8, 7]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 0]",1
1,59,"[7, 7, 8, 8, 7, 7, 7, 7, 8, 7]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",1
1,60,"[7, 4, 5, 8, 8, 6, 7, 7, 6, 7]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",1
1,61,"[5, 5, 2, 6, 2, 3, 5, 5, 5, 3]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,62,"[5, 6, 5, 5, 4, 3, 2, 4, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,63,"[6, 6, 6, 6, 6, 7, 6, 7, 7, 6]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,64,"[6, 8, 8, 8, 6, 7, 8, 8, 7, 8]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",1
1,65,"[5, 3, 5, 6, 5, 6, 2, 5, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,66,"[7, 7, 6, 8, 8, 9, 8, 7, 9, 7]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",1
1,67,"[6, 8, 8, 6, 6, 7, 8, 8, 6, 8]","[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",1
1,68,"[5, 5, 4, 5, 4, 4, 6, 5, 6, 6]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,69,"[5, 3, 7, 6, 5, 6, 6, 6, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,70,"[5, 7, 7, 6, 4, 5, 8, 4, 4, 6]","[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1
1,71,"[7, 7, 6, 8, 8, 7, 6, 7, 7, 7]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",1
1,72,"[7, 6, 8, 6, 7, 7, 8, 7, 8, 7]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,73,"[1, 4, 4, 8, 4, 5, 5, 5, 1, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1
1,74,"[5, 7, 4, 9, 7, 7, 9, 7, 6, 8]","[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",1
1,75,"[5, 4, 5, 5, 3, 4, 5, 4, 3, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,76,"[8, 6, 9, 7, 6, 7, 6, 8, 8, 5]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,77,"[7, 8, 6, 7, 7, 8, 8, 8, 7, 6]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]",1
1,78,"[7, 7, 8, 9, 7, 6, 8, 7, 7, 7]","[0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",1
1,79,"[6, 6, 7, 6, 5, 5, 6, 2, 6, 6]","[1, 0, 1, 0, 0, 1, 0, 0, 1, 1]",1
1,80,"[7, 7, 8, 5, 5, 5, 7, 2, 6, 5]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,81,"[8, 7, 8, 6, 5, 6, 7, 7, 7, 8]","[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",1
1,82,"[5, 5, 4, 6, 6, 6, 5, 4, 5, 8]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",1
1,83,"[7, 5, 5, 5, 6, 7, 6, 5, 7, 7]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",1
1,84,"[5, 2, 1, 1, 5, 2, 4, 2, 5, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,85,"[6, 9, 8, 7, 7, 7, 8, 6, 7, 8]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,86,"[5, 8, 7, 4, 6, 5, 6, 7, 5, 6]","[1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",1
1,87,"[7, 7, 8, 7, 8, 3, 7, 4, 7, 8]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",1
1,88,"[3, 7, 7, 8, 8, 8, 8, 7, 5, 2]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",1
1,89,"[7, 7, 8, 7, 6, 7, 5, 7, 6, 5]","[1, 0, 0, 1, 1, 1, 0, 1, 0, 0]",1
