trial,subID,sim_choice,sim_attack,k
1,48,"[7, 6, 8, 3, 8, 7, 6, 7, 7, 7]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1
1,49,"[1, 4, 1, 3, 4, 5, 1, 3, 4, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,50,"[2, 5, 5, 3, 5, 1, 3, 7, 3, 3]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",1
1,51,"[3, 4, 6, 3, 5, 4, 5, 5, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,52,"[5, 2, 3, 4, 3, 2, 4, 4, 4, 5]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,53,"[6, 4, 1, 4, 6, 3, 2, 2, 3, 3]","[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,54,"[6, 4, 3, 5, 3, 4, 5, 4, 6, 3]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1
1,55,"[7, 6, 7, 6, 7, 7, 7, 7, 7, 6]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]",1
1,56,"[4, 3, 5, 1, 3, 7, 4, 5, 4, 6]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,57,"[8, 7, 6, 9, 4, 7, 7, 6, 7, 6]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]",1
1,58,"[6, 6, 6, 4, 7, 6, 4, 7, 7, 5]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,59,"[6, 7, 6, 8, 7, 7, 7, 6, 7, 8]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",1
1,60,"[6, 5, 6, 6, 4, 3, 4, 4, 6, 6]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1
1,61,"[3, 4, 7, 2, 4, 6, 6, 6, 4, 4]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,62,"[4, 6, 7, 6, 4, 3, 4, 3, 5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,63,"[7, 8, 6, 7, 5, 7, 6, 5, 5, 7]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1
1,64,"[8, 7, 6, 7, 6, 9, 7, 6, 7, 5]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,65,"[4, 5, 5, 4, 2, 3, 6, 4, 1, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,66,"[7, 8, 6, 7, 7, 7, 4, 8, 8, 5]","[1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1
1,67,"[6, 6, 3, 5, 6, 4, 5, 3, 6, 5]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1
1,68,"[4, 2, 1, 4, 3, 3, 1, 5, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,69,"[1, 5, 3, 4, 1, 4, 1, 1, 2, 1]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,70,"[7, 1, 5, 3, 4, 5, 7, 3, 2, 4]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",1
1,71,"[3, 4, 5, 5, 5, 5, 4, 2, 6, 4]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1
1,72,"[6, 6, 5, 6, 7, 8, 5, 8, 5, 3]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1
1,73,"[7, 1, 1, 3, 4, 5, 2, 2, 4, 5]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,74,"[6, 5, 6, 5, 2, 6, 2, 3, 7, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1
1,75,"[5, 4, 3, 7, 3, 5, 6, 5, 2, 6]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1
1,76,"[8, 8, 8, 7, 6, 3, 4, 8, 7, 7]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",1
1,77,"[7, 7, 8, 6, 7, 6, 8, 8, 8, 5]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",1
1,78,"[6, 5, 4, 8, 3, 5, 3, 6, 7, 5]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",1
1,79,"[6, 4, 4, 4, 5, 3, 7, 3, 6, 3]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,80,"[6, 6, 5, 7, 6, 6, 4, 4, 3, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,81,"[7, 7, 7, 7, 7, 4, 7, 9, 7, 8]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",1
1,82,"[4, 6, 4, 6, 4, 6, 6, 5, 5, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1
1,83,"[6, 6, 7, 6, 7, 5, 6, 6, 7, 7]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 1]",1
1,84,"[4, 3, 3, 7, 6, 1, 4, 5, 2, 6]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",1
1,85,"[4, 7, 2, 5, 7, 5, 6, 5, 3, 1]","[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,86,"[8, 6, 6, 8, 6, 8, 9, 8, 9, 7]","[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",1
1,87,"[7, 6, 8, 7, 6, 7, 6, 8, 6, 3]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",1
1,88,"[7, 7, 8, 6, 6, 6, 7, 9, 6, 7]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",1
1,89,"[7, 6, 7, 4, 5, 5, 4, 7, 6, 5]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",1
1,90,"[4, 7, 3, 4, 6, 6, 3, 6, 4, 4]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,91,"[4, 5, 6, 4, 4, 5, 6, 4, 5, 4]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",1
1,92,"[5, 8, 9, 7, 8, 7, 7, 7, 7, 8]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1
1,93,"[7, 7, 6, 6, 3, 7, 4, 5, 4, 6]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1
1,94,"[8, 6, 5, 6, 5, 6, 7, 7, 6, 6]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",1
1,95,"[7, 7, 6, 5, 7, 7, 5, 2, 3, 5]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,96,"[4, 4, 6, 5, 5, 6, 6, 5, 5, 2]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",1
1,97,"[6, 2, 3, 6, 5, 5, 5, 6, 4, 3]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,98,"[5, 6, 5, 7, 5, 5, 7, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,99,"[4, 6, 4, 5, 2, 6, 6, 4, 7, 4]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,100,"[4, 5, 1, 4, 6, 2, 4, 6, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,101,"[2, 4, 6, 3, 4, 6, 7, 1, 6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,102,"[7, 7, 6, 6, 2, 7, 6, 4, 4, 4]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",1
1,103,"[7, 5, 6, 5, 4, 5, 6, 5, 5, 3]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,104,"[5, 3, 5, 2, 5, 2, 4, 3, 2, 2]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,105,"[6, 7, 7, 6, 8, 3, 6, 7, 6, 7]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,106,"[5, 5, 4, 3, 3, 3, 3, 2, 4, 2]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,107,"[6, 5, 6, 6, 6, 7, 5, 3, 5, 4]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,108,"[6, 7, 7, 7, 5, 4, 6, 7, 7, 8]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,109,"[4, 4, 4, 6, 3, 6, 4, 4, 1, 4]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1
1,110,"[4, 6, 5, 4, 4, 5, 5, 4, 6, 4]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,111,"[2, 1, 3, 2, 3, 3, 9, 5, 4, 2]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,112,"[7, 6, 8, 6, 5, 7, 7, 3, 7, 6]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,113,"[7, 4, 7, 4, 5, 6, 6, 6, 2, 4]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,114,"[7, 6, 8, 8, 8, 6, 8, 7, 8, 7]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",1
1,115,"[6, 6, 6, 5, 7, 7, 6, 5, 6, 5]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,116,"[4, 7, 5, 4, 5, 5, 6, 3, 5, 5]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",1
1,117,"[5, 6, 4, 6, 6, 5, 7, 6, 5, 2]","[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",1
1,118,"[3, 4, 2, 1, 1, 2, 3, 4, 1, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,119,"[6, 9, 7, 8, 7, 6, 7, 5, 7, 8]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",1
1,120,"[7, 5, 7, 1, 7, 7, 6, 6, 7, 8]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]",1
1,121,"[5, 5, 2, 4, 3, 5, 1, 1, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,122,"[9, 7, 8, 3, 6, 8, 7, 4, 7, 8]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1
1,123,"[1, 3, 2, 4, 2, 1, 5, 4, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,124,"[5, 2, 3, 3, 3, 3, 4, 3, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,125,"[2, 6, 3, 5, 3, 7, 5, 5, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,126,"[8, 7, 7, 7, 8, 7, 5, 5, 7, 5]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",1
1,127,"[6, 3, 3, 4, 2, 4, 4, 3, 3, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,128,"[7, 5, 6, 5, 6, 7, 5, 6, 4, 6]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1
1,129,"[5, 4, 2, 5, 4, 3, 5, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1
1,130,"[3, 4, 2, 5, 3, 7, 4, 4, 3, 4]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
