trial,subID,sim_choice,sim_attack,k
1,48,"[7, 7, 7, 7, 6, 9, 5, 6, 9, 6]","[0, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1
1,49,"[2, 3, 2, 1, 2, 3, 1, 1, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,50,"[4, 4, 4, 4, 4, 5, 5, 3, 5, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,51,"[4, 6, 6, 5, 5, 7, 7, 3, 5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,52,"[2, 5, 6, 5, 2, 3, 5, 5, 3, 3]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,53,"[2, 1, 4, 1, 1, 1, 4, 2, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,54,"[6, 6, 4, 5, 4, 6, 5, 1, 6, 2]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]",1
1,55,"[5, 5, 7, 6, 6, 6, 7, 6, 2, 6]","[0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1
1,56,"[5, 4, 5, 4, 2, 6, 3, 5, 2, 4]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",1
1,57,"[8, 7, 5, 7, 7, 8, 7, 7, 6, 8]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",1
1,58,"[6, 5, 6, 5, 6, 6, 7, 6, 5, 6]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",1
1,59,"[7, 6, 8, 7, 4, 5, 7, 6, 6, 5]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",1
1,60,"[5, 7, 6, 6, 5, 6, 5, 5, 4, 4]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,61,"[6, 4, 7, 6, 4, 5, 4, 3, 5, 7]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,62,"[4, 5, 1, 5, 5, 2, 3, 5, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,63,"[5, 8, 5, 6, 6, 7, 5, 7, 7, 6]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",1
1,64,"[5, 6, 6, 6, 7, 6, 6, 6, 7, 7]","[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]",1
