trial,subID,sim_choice,sim_attack,k
1,48,"[7, 5, 7, 7, 3, 9, 8, 5, 4, 8]","[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",1
1,49,"[2, 2, 3, 3, 3, 5, 4, 3, 1, 5]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,50,"[3, 4, 6, 3, 5, 4, 3, 4, 3, 4]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1
1,51,"[5, 4, 3, 4, 6, 4, 3, 4, 3, 6]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,52,"[7, 5, 4, 5, 3, 5, 4, 5, 7, 5]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,53,"[1, 4, 7, 6, 3, 4, 2, 2, 1, 3]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,54,"[6, 5, 7, 4, 7, 8, 5, 7, 5, 1]","[1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",1
1,55,"[6, 7, 7, 7, 7, 8, 5, 6, 6, 5]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",1
1,56,"[4, 5, 5, 7, 3, 4, 5, 5, 6, 5]","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",1
1,57,"[7, 8, 8, 5, 7, 6, 6, 7, 8, 6]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",1
1,58,"[5, 7, 6, 1, 5, 7, 7, 6, 6, 6]","[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",1
1,59,"[8, 8, 5, 8, 7, 7, 7, 8, 8, 7]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 1]",1
1,60,"[3, 4, 4, 5, 6, 7, 4, 5, 5, 1]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1
1,61,"[2, 6, 3, 7, 5, 4, 5, 6, 3, 7]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1
1,62,"[6, 5, 2, 3, 8, 5, 2, 5, 4, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,63,"[7, 7, 4, 8, 8, 7, 7, 8, 7, 5]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 0]",1
