subID,alpha,theta,gamma,w,nll_idv,nll_grp
92,0.08,1.18,0.48,0.53,196.73551257302827,100.60571306840765
93,0.14,0.19,1.0,-0.06,403.3311894520506,89.79916647655331
96,0.88,0.3,0.88,0.56,240.44009108066405,117.7372385256959
121,0.28,0.81,0.88,1.0,237.76761339829656,53.75142597393646
128,0.11,0.8,1.0,1.0,303.79862290034407,65.47737017596496
135,0.52,0.57,0.98,-0.16,257.27337430837207,91.0517580083963
136,0.13,0.88,0.48,0.77,293.99287086786114,81.55476314403009
139,1.0,0.69,0.82,0.0,108.57477526523823,31.486782810786707
149,0.88,0.78,0.56,0.4,226.36682420847728,90.08063289810543
156,0.88,0.38,0.98,0.97,213.84482167907763,56.59272402923566
159,0.88,0.76,0.88,0.77,197.0473704728154,105.67335997144066
162,0.27,0.91,0.0,-0.32,266.77962646538305,55.78773640209522
183,0.48,0.7,0.98,-0.2,297.6059987109868,130.51842011215152
186,0.66,0.36,1.0,1.0,410.2329940149435,125.9456533662213
191,1.0,0.82,0.05,0.5,195.0979814562337,106.13348612197512
197,0.6,1.5,0.12,0.73,388.3585409477271,94.42340091704449
199,1.0,0.17,1.0,0.69,224.94228634143494,68.31241841186996
200,0.5,0.41,0.69,1.0,303.0932513915228,57.43681332769226
202,1.0,1.04,0.28,0.6,221.6117502590185,102.44100384793363
94,0.88,0.7,0.82,0.26,190.16090105301012,100.43433660020372
95,0.38,0.35,0.0,0.88,340.16148635271935,65.08539858194953
97,0.68,0.48,0.5,0.45,277.3853907998601,102.52327702777559
98,1.0,1.08,0.71,-0.48,247.62907935052453,17.37826383836829
99,0.36,0.25,0.99,-0.11,242.25708428079923,90.60405884342069
100,0.88,0.68,0.88,0.7,230.57826306299845,77.56846693386467
101,1.0,1.3,0.31,0.21,199.84337088340496,62.92349970580805
102,0.2,0.44,0.97,-0.4,339.98250651769166,111.28486041406904
103,0.36,0.53,0.1,1.0,235.92754232366335,24.880484442721894
104,0.26,1.02,0.14,0.84,239.04991079529134,78.07774588688633
105,0.64,0.8,0.88,0.09,219.76590510493057,79.62557763290144
106,0.42,0.66,0.93,1.0,261.03121201474323,70.35610879873585
107,0.65,0.6,0.88,0.72,216.05582944447522,57.11971170240469
108,1.0,1.13,0.38,0.49,400.4714646186236,120.29231699877906
110,0.18,0.86,0.0,0.46,254.18278364200023,105.9569994752786
111,1.0,1.23,0.72,0.46,192.39819437829945,57.23366373021704
112,0.08,0.91,0.48,1.0,248.98732617502134,60.56525968759929
113,0.16,0.67,1.0,0.49,267.62321895092504,83.81030904227454
114,0.88,0.48,0.49,0.28,186.1457270384101,68.56560026436975
115,1.0,1.36,0.0,0.59,250.01948609037782,51.01415270888305
116,0.31,0.91,0.03,0.59,277.49063663299427,63.16747056764157
117,1.0,0.8,0.77,0.71,164.52520660343518,58.54768431355786
118,0.26,0.97,1.0,0.68,285.11588584513544,78.47265183682669
119,0.56,0.68,1.0,0.71,256.52788530844657,92.7524573789654
120,0.08,0.99,1.0,0.68,330.676867487341,86.32268803710275
122,1.0,0.85,0.78,1.0,151.7915888498178,55.41885760106696
123,0.39,0.52,0.88,0.14,227.4773524549123,92.77334018294871
124,0.4,0.86,0.02,0.31,274.3887740708471,112.8086024460199
125,0.22,0.65,0.89,1.0,284.88907286936694,47.89898924388709
126,0.84,0.74,0.85,0.76,203.66275875000176,81.1253495428773
127,1.0,1.06,0.61,0.57,218.48103860993476,72.36829937654588
129,0.68,0.57,0.86,0.31,270.18121114373736,91.35969902594252
130,1.0,1.5,0.59,0.18,86.71938523903201,55.74548168699901
131,0.95,1.01,0.79,-0.6,117.68273479489655,76.81442071023301
132,0.31,0.49,0.9,-0.12,225.72362476093969,74.70729946846734
133,0.43,0.52,0.0,0.52,361.3540371512513,125.01813873545706
134,1.0,0.69,0.79,0.54,281.0812849352539,92.10103175869949
