,ptn_rating,svo_value,svo_type,utility,trait,ius_score,subID
128,0,28.252836251520296,prosocial,24,51,82,131
129,10,35.01153510908234,prosocial,inf,52,96,199
130,8,26.77302042530859,prosocial,22,37,59,94
131,5,31.08454857977773,prosocial,30,55,78,106
132,7,24.26476606200304,prosocial,24,33,62,163
133,5,37.48241142771847,prosocial,16,22,38,139
134,8,37.48241142771847,prosocial,30,61,84,192
135,8,7.815293546766881,competitive,22,46,97,162
136,4,7.815293546766881,competitive,20,74,115,188
137,6,35.01153510908234,prosocial,20,52,73,127
138,7,28.72613066530436,prosocial,26,44,85,190
139,7,19.61787940811828,individualistic,,35,75,
140,9,35.01153510908234,prosocial,18,29,40,
141,5,20.454155973970384,individualistic,,51,78,198
142,9,37.48241142771847,prosocial,inf,38,34,200
143,9,35.01153510908234,prosocial,,56,97,197
144,10,37.48241142771847,prosocial,inf,29,55,175
145,8,35.01153510908234,prosocial,20,28,58,
146,6,37.48241142771847,prosocial,30,46,54,122
147,8,45,prosocial,26,50,27,155
148,9,35.01153510908234,prosocial,20,24,42,150
149,5,35.01153510908234,prosocial,22,55,107,137
150,6,7.815293546766881,competitive,22,41,53,202
151,10,7.815293546766881,competitive,inf,29,36,98
152,7,37.092837297041534,prosocial,22,55,86,121
153,7,37.48241142771847,prosocial,30,67,81,110
154,4,7.532601400947367,competitive,16,64,84,140
155,5,28.610459665965216,prosocial,inf,49,56,114
156,8,29.43256844631617,prosocial,inf,28,38,204
157,8,35.01153510908234,prosocial,24,37,45,206
158,4,11.040940180323732,competitive,28,45,63,178
159,8,35.01153510908234,prosocial,20,69,88,144
160,8,37.01361585490981,prosocial,28,32,68,196
161,9,37.48241142771847,prosocial,28,50,71,157
162,8,32.69198418257208,prosocial,20,40,68,145
163,10,35.01153510908234,prosocial,30,39,73,176
164,10,37.48241142771847,prosocial,inf,31,43,182
165,9,26.97650392106972,prosocial,30,28,35,159
166,10,34.47221388003644,prosocial,26,24,53,
167,7,32.69198418257208,prosocial,20,51,95,124
168,9,45,prosocial,22,25,38,101
169,10,35.51043301061695,prosocial,22,50,70,112
170,8,53.365886124032585,prosocial,inf,34,45,120
171,9,35.01153510908234,prosocial,26,53,106,149
172,8,35.01153510908234,prosocial,22,39,65,113
173,8,37.48241142771847,prosocial,20,26,41,134
174,0,16.260204708311957,individualistic,22,34,60,
175,6,31.45421426012932,prosocial,22,66,103,136
176,10,35.01153510908234,prosocial,20,62,78,166
177,8,37.48241142771847,prosocial,24,37,69,160
178,10,37.48241142771847,prosocial,20,27,42,
179,10,35.01153510908234,prosocial,28,26,39,99
180,3,35.01153510908234,prosocial,26,64,108,151
181,10,35.01153510908234,prosocial,20,30,27,165
182,7,35.01153510908234,prosocial,24,41,40,119
183,8,7.815293546766881,competitive,20,25,44,100
184,10,32.158103715827835,prosocial,inf,49,71,153
185,7,35.01153510908234,prosocial,24,58,110,174
186,7,19.456321291499084,individualistic,,56,84,142
187,8,3.652222780306336,competitive,26,68,100,
188,10,45,prosocial,24,76,126,156
189,10,16.260204708311957,individualistic,inf,42,88,103
190,7,34.496051115964406,prosocial,20,45,68,95
191,3,7.815293546766881,competitive,inf,51,87,158
192,6,35.65997383,prosocial,20,45,70,132
193,8,30.718904264029177,prosocial,30,36,68,184
194,7,35.01153510908234,prosocial,30,35,96,107
195,9,37.48241142771847,prosocial,20,68,100,143
196,8,35.01153510908234,prosocial,22,47,67,201
197,8,16.260204708311957,individualistic,inf,55,110,209
198,9,35.01153510908234,prosocial,inf,38,27,186
199,8,35.01153510908234,prosocial,20,32,77,161
200,8,35.01153510908234,prosocial,30,25,33,
201,0,7.815293546766881,competitive,20,20,53,130
202,10,37.48241142771847,prosocial,30,29,83,
203,9,37.48241142771847,prosocial,inf,41,60,133
204,9,37.48241142771847,prosocial,inf,53,95,129
205,8,37.48241142771847,prosocial,26,41,41,105
206,0,26.97650392106972,prosocial,inf,30,63,
207,9,7.815293546766881,competitive,,39,99,173
208,8,19.01809183701988,individualistic,20,45,109,185
209,9,18.217095197824847,individualistic,14,25,113,
210,3,32.158103715827835,prosocial,inf,58,94,109
211,5,33.21767486553769,prosocial,,43,114,203
212,10,24.590117166196013,prosocial,,21,33,181
