,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,1,9.879696846,-10,1,18
1,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,10,2.0896012783050537,39,10,18
2,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,100,1.5877996683120728,1088,100,18
3,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,101,1.6565001010894775,1078,101,18
4,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,102,0.7541000843048096,1094,102,18
5,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,103,1.4545000791549685,1084,103,18
6,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,104,3.623699665,1074,104,18
7,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,105,2.355999231338501,1064,105,18
8,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,106,1.8712999820709229,1080,106,18
9,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,107,1.2044001817703247,1089,107,18
10,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,108,1.5719996690750122,1105,108,18
11,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,109,1.1381999254226685,1121,109,18
12,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,11,3.4905991554260254,55,11,18
13,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,110,2.3059003353118896,1111,110,18
14,TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,111,2.755499839782715,1101,111,18
15,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,112,1.8220998048782349,1091,112,18
16,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,113,1.6547001600265503,1081,113,18
17,FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,114,1.7544995546340942,1162,114,18
18,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,115,2.4221997261047363,1152,115,18
19,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,116,1.872900485992432,1168,116,18
