attack,selfBlame,jointMoney,partnerStep,playerStep,predatorAttack,prediction,playerKeep,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,playerKeep2,payoff,subID
TRUE,0.25,-20,1,9,0,3,0.5,1.5320000648498535,14,1,2,1,50,0,5,8,0.5,-10,1
TRUE,0.5,-20,5,5,0,7,0.5,3.5074028968811035,15,1,1,0,70,1,5,0,0.5,-10,0
TRUE,0.5,-20,5,5,0,5,0.5,1.5484000444412231,15,1,1,1,50,1,5,0,0.5,-10,1
TRUE,0.75,-20,9,6,0,-1,0.25,7.547887802124023,15,1,2,0,70,0,8,-3,0.75,-5,0
TRUE,0.5,-20,6,9,0,4,0.5,1.7821000814437866,15,1,2,1,50,0,8,3,0.5,-10,1
FALSE,0.5,72,7,4,0,7,0.5,3.1944010257720947,16,1,1,0,70,1,6,-3,0.5,36,0
FALSE,0.75,72,4,7,0,4,0.75,1.7143996953964231,16,1,1,1,50,1,6,3,0.75,54,1
FALSE,0.5,72,5,7,0,6,0.5,3.763905525,16,1,2,0,70,0,6,2,0.5,36,0
FALSE,0.5,72,7,5,0,6,0.5,1.5147995948791504,16,1,2,1,50,0,6,-2,0.5,36,1
TRUE,0.25,-20,7,6,0,7,0.25,2.297800064086914,17,1,1,0,70,1,7,-1,0.75,-5,0
TRUE,0.5,-20,6,7,0,5,0.25,1.8815003633499143,17,1,1,1,50,1,7,1,0.75,-5,1
FALSE,0.5,72,5,7,0,7,0.5,5.041499137878418,17,1,2,0,70,0,6,2,0.5,36,0
FALSE,-1,72,7,5,0,6,0.75,1.6983001232147217,17,1,2,1,50,0,6,-2,0.75,54,1
TRUE,0.5,-20,5,5,0,7,0.5,3.0693018436431885,18,1,1,0,70,1,5,0,0.5,-10,0
TRUE,0.5,-20,5,5,0,6,0.5,1.4651001691818235,18,1,1,1,50,1,5,0,0.5,-10,1
FALSE,0.25,32,6,1,0,6,0.25,2.472100019454956,18,1,2,0,70,0,4,-5,0.25,8,0
FALSE,0.5,32,1,6,0,6,0.5,1.4303998947143557,18,1,2,1,50,0,4,5,0.5,16,1
FALSE,0.5,72,6,5,0,8,0.5,3.055001735687256,19,1,1,0,70,1,6,-1,0.5,36,0
FALSE,-1,72,5,6,0,6,0.75,1.8809996843338013,19,1,1,1,50,1,6,1,0.75,54,1
FALSE,0.75,72,5,7,0,6,0.5,6.930391311645508,19,1,2,0,70,0,6,2,0.5,36,0
FALSE,0.5,72,7,5,0,6,0.75,1.0661001205444336,19,1,2,1,50,0,6,-2,0.75,54,1
TRUE,0.25,-20,9,5,0,7,0,2.694299936294556,20,1,1,0,70,1,7,-4,1,0,0
TRUE,0.5,-20,5,9,0,5,0.5,3.061200857162476,20,1,1,1,50,1,7,4,0.5,-10,1
FALSE,0.75,18,5,1,0,4,0.5,2.236299753189087,20,1,2,0,70,0,3,-4,0.5,9,0
FALSE,0.5,18,1,5,0,5,0.75,1.5292000770568848,20,1,2,1,50,0,3,4,0.75,14,1
TRUE,0.25,-20,9,6,0,6,0,2.8050012588500977,21,1,1,0,70,1,8,-3,1,0,0
TRUE,0.5,-20,6,9,0,6,0.5,2.7804999351501465,21,1,1,1,50,1,8,3,0.5,-10,1
TRUE,0.5,-20,6,6,0,7,0.75,5.534096717834473,21,1,2,0,70,0,6,0,0.25,-15,0
TRUE,0.5,-20,6,6,0,6,0.5,1.7485003471374512,21,1,2,1,50,0,6,0,0.5,-10,1
FALSE,0.25,18,5,1,0,7,0.25,2.826101064682007,22,1,1,0,70,1,3,-4,0.25,4,0
FALSE,0.5,18,1,5,0,5,0.5,1.2491000890731812,22,1,1,1,50,1,3,4,0.5,9,1
FALSE,0.5,72,5,6,0,6,0.75,2.638899803161621,22,1,2,0,70,0,6,1,0.75,54,0
FALSE,0.5,72,6,5,0,5,0.5,1.2322999238967896,22,1,2,1,50,0,6,-1,0.5,36,1
TRUE,0.5,-20,9,7,0,6,0.5,6.624687671661377,23,1,1,0,70,1,8,-2,0.5,-10,0
TRUE,0.5,-20,7,9,0,4,0.25,1.931899785995484,23,1,1,1,50,1,8,2,0.75,-5,1
TRUE,0.5,-20,6,2,0,6,0.5,6.479094982147217,23,1,2,0,70,0,4,-4,0.5,-10,0
TRUE,-1,-20,2,6,0,6,0,1.2151001691818235,23,1,2,1,50,0,4,4,1,0,1
TRUE,0.25,-20,9,2,0,7,0,3.444302082061768,24,1,1,0,70,1,6,-7,1,0,0
TRUE,0.5,-20,2,9,0,6,0.5,2.1313998699188232,24,1,1,1,50,1,6,7,0.5,-10,1
FALSE,0,72,5,7,0,7,0.5,5.582798957824707,24,1,2,0,70,0,6,2,0.5,36,0
FALSE,0.5,72,7,5,0,4,0.5,1.2318003177642822,24,1,2,1,50,0,6,-2,0.5,36,1
TRUE,0.25,-20,9,5,0,7,0,3.020700216293335,25,1,1,0,70,1,7,-4,1,0,0
TRUE,0.5,-20,5,9,0,6,0,1.5653998851776123,25,1,1,1,50,1,7,4,1,0,1
FALSE,0.5,72,6,5,0,7,0.5,4.833198070526123,25,1,2,0,70,0,6,-1,0.5,36,0
FALSE,0.5,72,5,6,0,6,0.5,1.1990002393722534,25,1,2,1,50,0,6,1,0.5,36,1
TRUE,0.75,-20,4,5,0,7,0.75,4.096601486206055,26,1,1,0,70,1,5,1,0.25,-15,0
TRUE,0.5,-20,5,4,0,5,0,1.0160999298095703,26,1,1,1,50,1,5,-1,1,0,1
TRUE,0.5,-20,5,5,0,7,0.5,7.479088306427002,26,1,2,0,70,0,5,0,0.5,-10,0
TRUE,0.5,-20,5,5,0,5,0.5,1.0287002325057983,26,1,2,1,50,0,5,0,0.5,-10,1
FALSE,0.5,18,3,3,0,6,0.5,1.722299337387085,27,1,1,0,70,1,3,0,0.5,9,0
FALSE,0,18,3,3,0,5,0.5,0.965899944,27,1,1,1,50,1,3,0,0.5,9,1
FALSE,0.5,98,9,5,0,7,0.5,3.659601449966431,27,1,2,0,70,0,7,-4,0.5,49,0
FALSE,0.5,98,5,9,0,5,0.5,1.5987001657485962,27,1,2,1,50,0,7,4,0.5,49,1
TRUE,0.75,-20,4,5,0,7,0.75,3.0762035846710205,28,1,1,0,70,1,5,1,0.25,-15,0
TRUE,0.5,-20,5,4,0,6,0.5,1.148800015449524,28,1,1,1,50,1,5,-1,0.5,-10,1
TRUE,0.5,-20,9,6,0,6,0.5,5.027599811553955,28,1,2,0,70,0,8,-3,0.5,-10,0
TRUE,0.5,-20,6,9,0,7,0.5,2.131500244140625,28,1,2,1,50,0,8,3,0.5,-10,1
TRUE,0.75,-20,3,4,0,7,0.75,2.888901233673096,29,1,1,0,70,1,4,1,0.25,-15,0
TRUE,0.5,-20,4,3,0,5,0.5,0.8496001362800598,29,1,1,1,50,1,4,-1,0.5,-10,1
FALSE,0.5,128,9,6,0,4,0.75,4.902796745300293,29,1,2,0,70,0,8,-3,0.75,96,0
FALSE,1,128,6,9,0,5,0.75,2.131200790405273,29,1,2,1,50,0,8,3,0.75,96,1
TRUE,0.25,-20,9,7,0,6,0.25,3.638803243637085,30,1,1,0,70,1,8,-2,0.75,-5,0
TRUE,0.5,-20,7,9,0,6,0.5,1.448699951171875,30,1,1,1,50,1,8,2,0.5,-10,1
TRUE,0.5,-20,9,2,0,6,0.5,3.631801128387451,30,1,2,0,70,0,6,-7,0.5,-10,0
TRUE,0.5,-20,2,9,0,5,0.5,2.1814002990722656,30,1,2,1,50,0,6,7,0.5,-10,1
FALSE,0.5,98,8,5,0,5,0.5,5.144998550415039,1,2,1,0,60,0,7,-3,0.5,49,2
FALSE,0.75,98,5,8,0,8,0.5,4.260500431060791,1,2,1,1,70,0,7,3,0.5,49,3
TRUE,0.25,-20,4,6,0,4,0.5,1.6197998523712158,1,2,2,0,60,1,5,2,0.5,-10,2
TRUE,0.25,-20,6,4,0,4,0.5,3.6204988956451416,1,2,2,1,70,1,5,-2,0.5,-10,3
FALSE,0.5,128,8,7,0,7,0.5,3.546498537063598,2,2,1,0,60,0,8,-1,0.5,64,2
FALSE,0.5,128,7,8,0,-1,0.5,4.3628997802734375,2,2,1,1,70,0,8,1,0.5,64,3
FALSE,0.5,8,1,3,0,3,0.5,1.2308999300003052,2,2,2,0,60,1,2,2,0.5,4,2
FALSE,0.5,8,3,1,0,3,0.5,1.1127997636795044,2,2,2,1,70,1,2,-2,0.5,4,3
TRUE,0.25,-20,8,4,0,2,0,4.529598712921143,3,2,1,0,60,0,6,-4,1,0,2
TRUE,0.75,-20,4,8,0,7,0.5,5.091701030731201,3,2,1,1,70,0,6,4,0.5,-10,3
TRUE,0.75,-20,2,9,0,6,0.5,3.080599069595337,3,2,2,0,60,1,6,7,0.5,-10,2
TRUE,0.25,-20,9,2,0,2,0.5,0.7376000881195068,3,2,2,1,70,1,6,-7,0.5,-10,3
TRUE,0.5,-20,1,7,0,9,0,3.2136993408203125,4,2,1,0,60,0,4,6,1,0,2
TRUE,0.25,-20,7,1,0,0,0.5,1.303500056266785,4,2,1,1,70,0,4,-6,0.5,-10,3
FALSE,0.5,50,5,4,0,2,0.5,2.165700435638428,4,2,2,0,60,1,5,-1,0.5,25,2
FALSE,0.5,50,4,5,0,5,0.5,1.914799809455872,4,2,2,1,70,1,5,1,0.5,25,3
TRUE,0,-20,8,7,0,2,0.25,3.0151991844177246,5,2,1,0,60,0,8,-1,0.75,-5,2
TRUE,0.5,-20,7,8,0,6,0.5,2.98669982,5,2,1,1,70,0,8,1,0.5,-10,3
FALSE,0.5,18,4,1,0,6,0.5,3.165000915527344,5,2,2,0,60,1,3,-3,0.5,9,2
FALSE,0.5,18,1,4,0,4,0.5,1.422899603843689,5,2,2,1,70,1,3,3,0.5,9,3
FALSE,1,18,1,5,0,9,1,1.9452000856399536,6,2,1,0,60,0,3,4,1,18,2
FALSE,0.5,18,5,1,0,5,0.5,1.1769996881484983,6,2,1,1,70,0,3,-4,0.5,9,3
FALSE,0.5,32,2,5,0,8,0.5,2.4144997596740723,6,2,2,0,60,1,4,3,0.5,16,2
FALSE,0.5,32,5,2,0,2,0.5,0.6399000287055969,6,2,2,1,70,1,4,-3,0.5,16,3
TRUE,0.5,-20,7,6,0,7,0.25,2.230099916,7,2,1,0,60,0,7,-1,0.75,-5,2
TRUE,0.75,-20,6,7,0,5,0.5,3.975799560546875,7,2,1,1,70,0,7,1,0.5,-10,3
FALSE,0.5,32,3,5,0,9,0.5,1.9146991968154907,7,2,2,0,60,1,4,2,0.5,16,2
FALSE,0.5,32,5,3,0,4,0.5,2.1466994285583496,7,2,2,1,70,1,4,-2,0.5,16,3
FALSE,0.75,72,3,9,0,9,0.75,3.662899255752564,8,2,1,0,60,0,6,6,0.75,54,2
FALSE,0.25,72,9,3,0,4,0.5,1.5446999073028564,8,2,1,1,70,0,6,-6,0.5,36,3
TRUE,0.75,-20,3,4,0,7,0.5,2.0640993118286133,8,2,2,0,60,1,4,1,0.5,-10,2
TRUE,0.25,-20,4,3,0,4,0.5,2.398798704147339,8,2,2,1,70,1,4,-1,0.5,-10,3
TRUE,0.5,-20,5,4,0,0,0.75,2.5006003379821777,9,2,1,0,60,0,5,-1,0.25,-15,2
TRUE,0.75,-20,4,5,0,5,0.5,1.7223995923995972,9,2,1,1,70,0,5,1,0.5,-10,3
TRUE,0.5,-20,5,8,0,7,0.5,2.016499757766724,9,2,2,0,60,1,7,3,0.5,-10,2
TRUE,0.25,-20,8,5,0,5,0.5,1.6014995574951172,9,2,2,1,70,1,7,-3,0.5,-10,3
FALSE,0.75,98,5,8,0,7,0.75,2.6650002002716064,10,2,1,0,60,0,7,3,0.75,74,2
FALSE,0.25,98,8,5,0,5,0.5,2.777200698852539,10,2,1,1,70,0,7,-3,0.5,49,3
FALSE,0.75,98,5,9,0,6,0.75,2.264999389648437,10,2,2,0,60,1,7,4,0.75,74,2
FALSE,0.25,98,9,5,0,5,0.5,1.1416995525360107,10,2,2,1,70,1,7,-4,0.5,49,3
TRUE,0.75,-20,1,5,0,7,1,1.9478001594543457,11,2,1,0,60,0,3,4,0,-20,2
TRUE,0.25,-20,5,1,0,4,0.5,2.310998678207397,11,2,1,1,70,0,3,-4,0.5,-10,3
FALSE,0.25,50,5,4,0,6,0.5,4.498401165008545,11,2,2,0,60,1,5,-1,0.5,25,2
FALSE,0.5,50,4,5,0,5,0.5,1.767399787902832,11,2,2,1,70,1,5,1,0.5,25,3
TRUE,0.25,-20,7,5,0,5,0,2.7799994945526123,12,2,1,0,60,0,6,-2,1,0,2
TRUE,0.75,-20,5,7,0,7,0.5,2.4148993492126465,12,2,1,1,70,0,6,2,0.5,-10,3
FALSE,0.5,32,4,4,0,6,0.5,1.349600076675415,12,2,2,0,60,1,4,0,0.5,16,2
FALSE,0.5,32,4,4,0,5,0.5,1.8842989206314087,12,2,2,1,70,1,4,0,0.5,16,3
FALSE,0.75,128,7,9,0,5,0.75,3.1950998306274414,13,2,1,0,60,0,8,2,0.75,96,2
FALSE,0.25,128,9,7,0,5,0.5,4.581303119659424,13,2,1,1,70,0,8,-2,0.5,64,3
FALSE,1,18,3,3,0,6,0.5,2.765299081802368,13,2,2,0,60,1,3,0,0.5,9,2
FALSE,0.5,18,3,3,0,3,0.5,1.0049002170562744,13,2,2,1,70,1,3,0,0.5,9,3
FALSE,0.5,2,1,1,0,0,0.5,1.0331002473831177,14,2,1,0,60,0,1,0,0.5,1,2
FALSE,0.5,2,1,1,0,0,0.5,0.9477999210357666,14,2,1,1,70,0,1,0,0.5,1,3
FALSE,0.75,18,2,4,0,6,0.5,2.647699833,14,2,2,0,60,1,3,2,0.5,9,2
FALSE,0.25,18,4,2,0,2,0.5,0.8882998824119568,14,2,2,1,70,1,3,-2,0.5,9,3
FALSE,0.5,98,7,7,0,6,0.5,3.380099058151245,15,2,1,0,60,0,7,0,0.5,49,2
FALSE,0.5,98,7,7,0,8,0.5,2.869101047515869,15,2,1,1,70,0,7,0,0.5,49,3
FALSE,0.25,8,2,2,0,8,0.5,1.3335002660751345,15,2,2,0,60,1,2,0,0.5,4,2
FALSE,0.5,8,2,2,0,3,0.5,0.6037999987602234,15,2,2,1,70,1,2,0,0.5,4,3
TRUE,0.5,-20,5,4,0,0,0.5,1.6469000577926636,16,2,1,0,60,0,5,-1,0.5,-10,2
TRUE,0.75,-20,4,5,0,6,0.5,1.8769997358322144,16,2,1,1,70,0,5,1,0.5,-10,3
TRUE,0.5,-20,1,4,0,7,0.5,1.8653000593185425,16,2,2,0,60,1,3,3,0.5,-10,2
TRUE,0.25,-20,4,1,0,0,0.5,0.6360000967979431,16,2,2,1,70,1,3,-3,0.5,-10,3
FALSE,1,32,1,6,0,7,0.75,2.4497997760772705,17,2,1,0,60,0,4,5,0.75,24,2
FALSE,0.25,32,6,1,0,0,0.5,0.9602001905441284,17,2,1,1,70,0,4,-5,0.5,16,3
TRUE,1,-20,5,9,0,6,0.5,2.230199813842773,17,2,2,0,60,1,7,4,0.5,-10,2
TRUE,0.25,-20,9,5,0,6,0.5,3.095198154449463,17,2,2,1,70,1,7,-4,0.5,-10,3
TRUE,0.5,-20,3,3,0,0,0.5,0.9828001260757446,18,2,1,0,60,0,3,0,0.5,-10,2
TRUE,0.5,-20,3,3,0,5,0.5,2.655899763,18,2,1,1,70,0,3,0,0.5,-10,3
TRUE,0.75,-20,6,9,0,5,0.5,2.5120999813079834,18,2,2,0,60,1,8,3,0.5,-10,2
TRUE,0.25,-20,9,6,0,6,0.5,1.776598572731018,18,2,2,1,70,1,8,-3,0.5,-10,3
FALSE,1,50,1,9,0,6,1,1.9808002710342407,19,2,1,0,60,0,5,8,1,50,2
FALSE,0.5,50,9,1,0,0,0.5,0.5952000021934509,19,2,1,1,70,0,5,-8,0.5,25,3
FALSE,1,98,5,9,0,9,0.5,2.848000288009644,19,2,2,0,60,1,7,4,0.5,49,2
FALSE,0.25,98,9,5,0,5,0.5,1.2321999073028564,19,2,2,1,70,1,7,-4,0.5,49,3
FALSE,0.75,50,4,5,0,0,0.75,1.5334001779556274,20,2,1,0,60,0,5,1,0.75,38,2
FALSE,0.5,50,5,4,0,4,0.5,1.2716000080108645,20,2,1,1,70,0,5,-1,0.5,25,3
TRUE,0.5,-20,5,9,0,6,0.5,2.598199844360352,20,2,2,0,60,1,7,4,0.5,-10,2
TRUE,0.5,-20,9,5,0,6,0.5,1.4879000186920166,20,2,2,1,70,1,7,-4,0.5,-10,3
FALSE,0,32,3,4,0,0,0.75,1.464500069618225,21,2,1,0,60,0,4,1,0.75,24,2
FALSE,0.5,32,4,3,0,3,0.5,2.2915992736816406,21,2,1,1,70,0,4,-1,0.5,16,3
TRUE,1,-20,9,9,0,8,0.5,2.047999620437622,21,2,2,0,60,1,9,0,0.5,-10,2
TRUE,0.5,-20,9,9,0,9,0.5,2.067899703979492,21,2,2,1,70,1,9,0,0.5,-10,3
TRUE,0.75,-20,2,9,0,5,1,2.4803996086120605,22,2,1,0,60,0,6,7,0,-20,2
TRUE,0.25,-20,9,2,0,2,0.5,0.8403000831604004,22,2,1,1,70,0,6,-7,0.5,-10,3
FALSE,0.5,32,5,3,0,4,0.5,1.114399790763855,22,2,2,0,60,1,4,-2,0.5,16,2
FALSE,0.75,32,3,5,0,5,0.5,1.0360000133514404,22,2,2,1,70,1,4,2,0.5,16,3
FALSE,1,50,1,9,0,9,1,2.598599433898926,23,2,1,0,60,0,5,8,1,50,2
FALSE,0.25,50,9,1,0,0,0.5,1.5418996810913086,23,2,1,1,70,0,5,-8,0.5,25,3
FALSE,0.25,50,4,6,0,5,0.5,2.331399679,23,2,2,0,60,1,5,2,0.5,25,2
FALSE,0.25,50,6,4,0,4,0.5,1.3409998416900637,23,2,2,1,70,1,5,-2,0.5,25,3
FALSE,0.5,32,5,2,0,5,0.5,3.230599403381348,24,2,1,0,60,0,4,-3,0.5,16,2
FALSE,0.5,32,2,5,0,5,0.5,1.5190997123718262,24,2,1,1,70,0,4,3,0.5,16,3
FALSE,1,50,4,5,0,6,0.5,1.5298994779586792,24,2,2,0,60,1,5,1,0.5,25,2
FALSE,0.5,50,5,4,0,5,0.5,1.5481998920440674,24,2,2,1,70,1,5,-1,0.5,25,3
FALSE,0.75,50,1,9,0,5,1,3.1281988620758057,25,2,1,0,60,0,5,8,1,50,2
FALSE,0.25,50,9,1,0,2,0.5,1.553800106048584,25,2,1,1,70,0,5,-8,0.5,25,3
TRUE,0.25,-20,4,6,0,5,0.5,2.762399196624756,25,2,2,0,60,1,5,2,0.5,-10,2
TRUE,0.25,-20,6,4,0,4,0.5,1.127900004386902,25,2,2,1,70,1,5,-2,0.5,-10,3
TRUE,1,-20,3,9,0,9,0.75,2.065500020980835,26,2,1,0,60,0,6,6,0.25,-15,2
TRUE,0.25,-20,9,3,0,5,0.5,1.3539997339248655,26,2,1,1,70,0,6,-6,0.5,-10,3
TRUE,0,-20,4,8,0,4,0.5,3.496700048446656,26,2,2,0,60,1,6,4,0.5,-10,2
TRUE,0.25,-20,8,4,0,9,0.5,3.533999443054199,26,2,2,1,70,1,6,-4,0.5,-10,3
TRUE,0.5,-20,7,9,0,5,0.5,2.282099485397339,27,2,1,0,60,0,8,2,0.5,-10,2
TRUE,0.5,-20,9,7,0,7,0.5,2.6999998092651367,27,2,1,1,70,0,8,-2,0.5,-10,3
FALSE,1,98,4,9,0,5,0.75,3.346400260925293,27,2,2,0,60,1,7,5,0.75,74,2
FALSE,0.25,98,9,4,0,8,0.5,1.2827999591827393,27,2,2,1,70,1,7,-5,0.5,49,3
FALSE,0.75,98,5,9,0,7,0.75,2.4962995052337646,28,2,1,0,60,0,7,4,0.75,74,2
FALSE,0.5,98,9,5,0,5,0.5,2.060799360275269,28,2,1,1,70,0,7,-4,0.5,49,3
TRUE,0.75,-20,4,7,0,6,0.5,2.6638994216918945,28,2,2,0,60,1,6,3,0.5,-10,2
TRUE,0.25,-20,7,4,0,5,0.5,1.214599609,28,2,2,1,70,1,6,-3,0.5,-10,3
FALSE,1,98,5,9,0,6,0.5,2.2146997451782227,29,2,1,0,60,0,7,4,0.5,49,2
FALSE,0.5,98,9,5,0,5,0.5,1.9980998039245603,29,2,1,1,70,0,7,-4,0.5,49,3
FALSE,1,98,4,9,0,0,0.75,2.696699619293213,29,2,2,0,60,1,7,5,0.75,74,2
FALSE,0.5,98,9,4,0,5,0.5,1.062299728393555,29,2,2,1,70,1,7,-5,0.5,49,3
FALSE,0.5,32,4,4,0,7,0.5,1.481799840927124,30,2,1,0,60,0,4,0,0.5,16,2
FALSE,0.5,32,4,4,0,5,0.5,2.368499755859375,30,2,1,1,70,0,4,0,0.5,16,3
TRUE,0.75,-20,6,9,0,9,0.5,1.9151999950408936,30,2,2,0,60,1,8,3,0.5,-10,2
TRUE,0.25,-20,9,6,0,5,0.5,1.6304998397827148,30,2,2,1,70,1,8,-3,0.5,-10,3
TRUE,0.75,-20,3,4,0,6,0.75,6.315999507904053,1,3,1,0,70,1,4,1,0.25,-15,4
TRUE,0.25,-20,4,3,0,3,1,2.0666000843048096,1,3,1,1,90,1,4,-1,0,-20,5
FALSE,0.5,72,6,6,0,5,0.5,2.000000476837158,1,3,2,0,70,0,6,0,0.5,36,4
FALSE,0.5,72,6,6,0,6,0.5,1.5334004163742063,1,3,2,1,90,0,6,0,0.5,36,5
TRUE,0.5,-20,3,3,0,3,0.5,4.333198070526123,2,3,1,0,70,1,3,0,0.5,-10,4
