attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
FALSE,2.5999999046325684,7,2,0,0,4,1,2.200800895690918,4,1,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,10,0.9868003726005554,126,10,82
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,100,0.9860002994537354,511,100,82
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,101,0.886900008,501,101,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,102,0.7030999660491943,517,102,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,103,0.6695000529289246,533,103,82
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,104,0.886000395,523,104,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,105,0.5528000593185425,532,105,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,106,0.5864000916481018,541,106,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,107,0.736700177,566,107,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,108,0.7866001725196838,591,108,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,109,0.5862001180648804,607,109,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,11,1.0031001567840576,142,11,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,110,0.6695000529289246,623,110,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,111,0.6199000477790833,639,111,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,112,0.6863000392913818,655,112,82
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,113,1.5526005029678345,645,113,82
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,114,1.3026008605957031,694,114,82
TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,115,1.4196006059646606,684,115,82
TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,116,1.2193001508712769,674,116,82
TRUE,4.800000190734863,7,7,0.768000066,1,-10,117,1.2530007362365725,664,117,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,118,0.9862000942230223,689,118,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,119,0.8528000116348267,714,119,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,12,64.34169006347656,151,12,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,120,0.8854002356529236,739,120,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,13,1.7522013187408447,160,13,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,14,1.236600637435913,176,14,82
TRUE,2.5999999046325684,7,4,0.1624999940395355,0,-10,15,0.8197001218795776,166,15,82
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,16,1.835101127624512,156,16,82
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,17,0.9194000959396362,192,17,82
TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,18,0.7200002074241638,182,18,82
FALSE,4.800000190734863,7,1,0,1,1,19,7.099690914154053,183,19,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,2,0.5801000595092773,13,2,82
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,20,3.167998552322388,173,20,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,21,3.051799297332764,189,21,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,22,1.802200436592102,214,22,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,23,0.6869000196456909,230,23,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,24,0.9527999758720398,220,24,82
TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,25,1.3858004808425903,210,25,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,26,0.6871002912521362,226,26,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,27,0.8697001934051514,242,27,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,28,0.6701000928878784,258,28,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,29,0.7207001447677612,274,29,82
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,3,0.7190002202987671,29,3,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,30,18.06985664367676,264,30,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,31,1.2027004957199097,273,31,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,32,0.9362001419067384,263,32,82
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,33,1.9025001525878904,312,33,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,34,1.6365004777908323,328,34,82
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,35,31.838647842407227,337,35,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,36,24.525297164916992,346,36,82
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,37,2.3682003021240234,355,37,82
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,38,2.452000617980957,364,38,82
TRUE,4.800000190734863,7,7,0.768000066,1,-10,39,2.5756001472473145,354,39,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,4,0.6366000175476074,45,4,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,40,1.6191009283065796,370,40,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,41,0.7363002300262451,395,41,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,42,0.668700099,420,42,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,43,0.6867001056671143,445,43,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,44,0.7023001909255981,470,44,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,45,0.8530001640319824,495,45,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,46,1.2359000444412231,520,46,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,47,1.2860004901885986,545,47,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,48,1.0857003927230835,570,48,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,49,1.0529001951217651,586,49,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,5,0.6363999247550964,61,5,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,50,1.3197007179260254,611,50,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,51,1.2028006315231323,601,51,82
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,52,0.9523004293441772,591,52,82
TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,53,0.8529000878334045,581,53,82
TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,54,1.8024009466171265,571,54,82
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,55,0.6370000243186951,561,55,82
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,56,0.7863003015518188,586,56,82
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,57,0.7361001968383789,576,57,82
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,58,1.3190007209777832,601,58,82
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,59,0.8860000967979431,617,59,82
