attack,selfBlame,jointMoney,partnerStep,playerStep,predatorAttack,prediction,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,payoff,subID
FALSE,0.75,32,3,4,0,4,1.0522000789642334,17,1,1,0,70,1,4,1,32,0
FALSE,0.5,32,4,3,0,4,3.3993990421295166,17,1,1,1,70,1,4,-1,16,1
FALSE,0.75,50,4,5,0,4,1.8680999279022217,17,1,2,0,70,0,5,1,38,0
FALSE,0.5,50,5,4,0,4,2.566800594329834,17,1,2,1,70,0,5,-1,25,1
TRUE,0.5,-20,4,4,0,4,1.2018001079559326,18,1,1,0,70,1,4,0,0,0
TRUE,0.5,-20,4,4,0,4,1.533400058746338,18,1,1,1,70,1,4,0,-10,1
TRUE,0.75,-20,4,5,0,5,2.802500009536743,18,1,2,0,70,0,5,1,0,0
TRUE,0.25,-20,5,4,0,4,1.3657002449035645,18,1,2,1,70,0,5,-1,-10,1
FALSE,0.5,32,4,4,0,4,1.301099658,19,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.3670001029968262,19,1,1,1,70,1,4,0,16,1
FALSE,0.75,50,4,5,0,4,1.3835999965667725,19,1,2,0,70,0,5,1,38,0
FALSE,0.5,50,5,4,0,4,2.432799816131592,19,1,2,1,70,0,5,-1,25,1
TRUE,0.5,-20,4,4,0,4,0.9521000385284424,20,1,1,0,70,1,4,0,0,0
TRUE,0.5,-20,4,4,0,4,1.3837000131607056,20,1,1,1,70,1,4,0,-10,1
TRUE,0.75,-20,4,5,0,5,1.584399938583374,20,1,2,0,70,0,5,1,0,0
TRUE,0.75,-20,5,4,0,4,1.5498000383377075,20,1,2,1,70,0,5,-1,-10,1
FALSE,0.5,32,4,4,0,4,1.3843001127243042,21,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.3164000511169434,21,1,1,1,70,1,4,0,16,1
FALSE,0.75,50,4,5,0,4,1.5518999099731443,21,1,2,0,70,0,5,1,50,0
FALSE,0.5,50,5,4,0,5,1.6669999361038208,21,1,2,1,70,0,5,-1,25,1
TRUE,0.5,-20,4,4,0,4,0.9005999565124512,22,1,1,0,70,1,4,0,0,0
TRUE,0.5,-20,4,4,0,4,1.4510003328323364,22,1,1,1,70,1,4,0,-10,1
FALSE,0.75,50,4,5,0,4,1.3849003314971924,22,1,2,0,70,0,5,1,38,0
FALSE,0.5,50,5,4,0,4,4.516199111938477,22,1,2,1,70,0,5,-1,25,1
FALSE,0.5,32,4,4,0,4,1.137000560760498,23,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.2324001789093018,23,1,1,1,70,1,4,0,16,1
FALSE,0.75,50,4,5,0,4,1.5009998083114624,23,1,2,0,70,0,5,1,38,0
FALSE,0.5,50,5,4,0,5,2.2667994499206543,23,1,2,1,70,0,5,-1,25,1
FALSE,0.5,32,4,4,0,4,0.8678000569343567,24,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.0664998292922974,24,1,1,1,70,1,4,0,16,1
FALSE,0.75,50,4,5,0,4,1.3678001165390017,24,1,2,0,70,0,5,1,50,0
FALSE,0.5,50,5,4,0,5,5.866796970367432,24,1,2,1,70,0,5,-1,25,1
FALSE,0.5,32,4,4,0,4,0.8337000012397766,25,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.068100094795227,25,1,1,1,70,1,4,0,16,1
FALSE,0.75,50,5,5,0,4,1.1841000318527222,25,1,2,0,70,0,5,0,38,0
FALSE,0.5,50,5,5,0,5,1.6170004606246948,25,1,2,1,70,0,5,0,25,1
TRUE,0.5,-20,4,4,0,4,1.0006000995635986,26,1,1,0,70,1,4,0,0,0
TRUE,0.5,-20,4,4,0,4,1.2497004270553589,26,1,1,1,70,1,4,0,-10,1
FALSE,0.75,50,4,5,0,4,1.334400296211243,26,1,2,0,70,0,5,1,50,0
FALSE,0.5,50,5,4,0,5,1.8504998683929443,26,1,2,1,70,0,5,-1,25,1
FALSE,0.5,32,4,4,0,4,0.8679999709129333,27,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,4.132799149,27,1,1,1,70,1,4,0,16,1
FALSE,0.5,32,3,5,0,4,1.3339999914169312,27,1,2,0,70,0,4,2,32,0
FALSE,-1,32,5,3,0,5,4.749898433685303,27,1,2,1,70,0,4,-2,24,1
FALSE,0.5,32,4,4,0,4,0.9339001774787904,28,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.416800022125244,28,1,1,1,70,1,4,0,16,1
FALSE,0.5,50,5,5,0,3,1.1856998205184937,28,1,2,0,70,0,5,0,38,0
FALSE,0.5,50,5,5,0,5,2.333400249481201,28,1,2,1,70,0,5,0,25,1
FALSE,0.5,32,4,4,0,4,0.9005000591278076,29,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.8671003580093384,29,1,1,1,70,1,4,0,16,1
FALSE,0.75,50,4,5,0,4,1.367799997329712,29,1,2,0,70,0,5,1,50,0
FALSE,0.5,50,5,4,0,5,2.5341997146606445,29,1,2,1,70,0,5,-1,25,1
FALSE,0.5,32,4,4,0,4,0.850800097,30,1,1,0,70,1,4,0,24,0
FALSE,0.5,32,4,4,0,4,1.1335997581481934,30,1,1,1,70,1,4,0,16,1
TRUE,0.75,-20,4,5,0,4,1.3009999990463257,30,1,2,0,70,0,5,1,-5,0
TRUE,0.25,-20,5,4,0,5,6.1344990730285645,30,1,2,1,70,0,5,-1,-10,1
TRUE,0.5,-20,5,6,0,6,1.893494963645935,1,2,1,0,80,0,6,1,-10,2
TRUE,-1,-20,6,5,0,5,4.890900135040283,1,2,1,1,70,0,6,-1,-5,3
FALSE,0.5,18,2,3,0,3,1.4221975803375244,1,2,2,0,80,1,3,1,9,2
FALSE,0.5,18,3,2,0,5,2.9750986099243164,1,2,2,1,70,1,3,-1,9,3
FALSE,0.5,72,6,5,0,5,1.997894287109375,2,2,1,0,80,0,6,-1,36,2
FALSE,0.75,72,5,6,0,5,4.541296482086182,2,2,1,1,70,0,6,1,72,3
FALSE,0.5,32,4,4,0,4,2.7986984252929688,2,2,2,0,80,1,4,0,16,2
FALSE,0.5,32,4,4,0,3,2.0836000442504883,2,2,2,1,70,1,4,0,16,3
FALSE,0.5,72,7,5,0,5,3.003201723098755,3,2,1,0,80,0,6,-2,36,2
FALSE,0.75,72,5,7,0,6,3.349698781967163,3,2,1,1,70,0,6,2,54,3
TRUE,0.75,-20,3,5,0,5,2.135494947433472,3,2,2,0,80,1,4,2,-10,2
TRUE,0.25,-20,5,3,0,6,2.2494001388549805,3,2,2,1,70,1,4,-2,0,3
FALSE,0.25,72,7,5,0,6,2.6526987552642822,4,2,1,0,80,0,6,-2,36,2
FALSE,0.75,72,5,7,0,7,3.041200399398804,4,2,1,1,70,0,6,2,72,3
FALSE,0.5,18,3,3,0,3,1.3138983249664309,4,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,5,3.265897989273072,4,2,2,1,70,1,3,0,9,3
FALSE,0.5,98,7,6,0,7,5.092697620391846,5,2,1,0,80,0,7,-1,49,2
FALSE,1,98,6,7,0,5,3.124300718307495,5,2,1,1,70,0,7,1,98,3
TRUE,0.5,-20,4,3,0,3,1.3012982606887815,5,2,2,0,80,1,4,-1,-10,2
TRUE,1,-20,3,4,0,5,2.983398438,5,2,2,1,70,1,4,1,-10,3
FALSE,0.25,98,9,5,0,8,2.3815979957580566,6,2,1,0,80,0,7,-4,24,2
FALSE,1,98,5,9,0,5,7.091200351715088,6,2,1,1,70,0,7,4,98,3
FALSE,0.5,18,3,3,0,3,1.493196964263916,6,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,3.083000421524048,6,2,2,1,70,1,3,0,9,3
FALSE,0.25,128,9,6,0,8,2.3899970054626465,7,2,1,0,80,0,8,-3,32,2
FALSE,1,128,6,9,0,5,3.766800404,7,2,1,1,70,0,8,3,96,3
FALSE,0.5,18,3,3,0,4,1.5848970413208008,7,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,1.5667003393173218,7,2,2,1,70,1,3,0,9,3
FALSE,0.5,162,9,9,0,9,3.3451058864593506,8,2,1,0,80,0,9,0,81,2
FALSE,0.5,162,9,9,0,5,4.274497985839844,8,2,1,1,70,0,9,0,81,3
TRUE,0.5,-20,3,3,0,3,1.4555976390838623,8,2,2,0,80,1,3,0,-10,2
TRUE,0.5,-20,3,3,0,3,1.5583994388580322,8,2,2,1,70,1,3,0,-10,3
FALSE,0.5,162,9,9,0,9,2.782001495361328,9,2,1,0,80,0,9,0,81,2
FALSE,0.5,162,9,9,0,7,5.258299350738525,9,2,1,1,70,0,9,0,81,3
FALSE,0.5,18,3,3,0,3,1.9270951747894287,9,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,1.975399374961853,9,2,2,1,70,1,3,0,9,3
FALSE,0.5,162,9,9,0,9,3.428507328033448,10,2,1,0,80,0,9,0,81,2
FALSE,0.5,162,9,9,0,9,3.691197156906128,10,2,1,1,70,0,9,0,81,3
FALSE,0.5,18,3,3,0,3,1.622496247291565,10,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,2.091299533843994,10,2,2,1,70,1,3,0,9,3
TRUE,0.5,-20,9,9,0,9,3.069802761077881,11,2,1,0,80,0,9,0,-20,2
TRUE,0.5,-20,9,9,0,9,4.607698917388916,11,2,1,1,70,0,9,0,-10,3
FALSE,0.75,32,3,4,0,3,2.010394573,11,2,2,0,80,1,4,1,24,2
FALSE,0,32,4,3,0,3,1.4998997449874878,11,2,2,1,70,1,4,-1,16,3
TRUE,1,-20,4,8,0,8,3.069601535797119,12,2,1,0,80,0,6,4,-15,2
TRUE,0.25,-20,8,4,0,7,3.1242997646331787,12,2,1,1,70,0,6,-4,-5,3
FALSE,0.5,18,3,3,0,4,1.4763973951339722,12,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,4,1.4662996530532837,12,2,2,1,70,1,3,0,9,3
FALSE,0.5,72,7,5,0,5,1.9978944063186648,13,2,1,0,80,0,6,-2,36,2
FALSE,0.75,72,5,7,0,5,2.8910000324249268,13,2,1,1,70,0,6,2,54,3
TRUE,0.5,-20,3,3,0,3,1.6683965921401978,13,2,2,0,80,1,3,0,-10,2
TRUE,0.5,-20,3,3,0,3,1.541600227355957,13,2,2,1,70,1,3,0,-10,3
FALSE,0.25,98,7,6,0,7,2.006194591522217,14,2,1,0,80,0,7,-1,49,2
FALSE,0.75,98,6,7,0,5,3.149099349975586,14,2,1,1,70,0,7,1,49,3
FALSE,0.5,18,3,3,0,3,1.4763972759246826,14,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,1.0499999523162842,14,2,2,1,70,1,3,0,9,3
FALSE,0.5,128,9,7,0,8,2.1063947677612305,15,2,1,0,80,0,8,-2,64,2
FALSE,0.75,128,7,9,0,5,4.415899753570557,15,2,1,1,70,0,8,2,96,3
FALSE,0.5,18,3,3,0,3,1.3971978425979614,15,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,1.7253998517990112,15,2,2,1,70,1,3,0,9,3
FALSE,0.5,162,9,9,0,9,3.9539077281951904,16,2,1,0,80,0,9,0,81,2
FALSE,0.5,162,9,9,0,7,3.857798337936402,16,2,1,1,70,0,9,0,81,3
FALSE,0.5,32,4,3,0,3,2.089695692062378,16,2,2,0,80,1,4,-1,16,2
FALSE,1,32,3,4,0,3,2.507899284362793,16,2,2,1,70,1,4,1,32,3
TRUE,0.5,-20,9,9,0,9,2.644498825073242,17,2,1,0,80,0,9,0,-15,2
TRUE,0.5,-20,9,9,0,9,4.324300289154053,17,2,1,1,70,0,9,0,-10,3
FALSE,0.25,32,4,3,0,3,1.1344996690750122,17,2,2,0,80,1,4,-1,16,2
FALSE,1,32,3,4,0,3,2.433399438858032,17,2,2,1,70,1,4,1,32,3
FALSE,0.5,128,8,7,0,5,1.8309956789016724,18,2,1,0,80,0,8,-1,64,2
FALSE,0.5,128,7,8,0,5,4.465800285339356,18,2,1,1,70,0,8,1,96,3
FALSE,0.5,18,3,3,0,4,1.3261981010437012,18,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,3.024399280548096,18,2,2,1,70,1,3,0,9,3
FALSE,0.5,162,9,9,0,9,2.677798033,19,2,1,0,80,0,9,0,81,2
FALSE,0.5,162,9,9,0,8,3.066200256347656,19,2,1,1,70,0,9,0,81,3
FALSE,0.5,32,4,3,0,3,1.872594952583313,19,2,2,0,80,1,4,-1,16,2
FALSE,1,32,3,4,0,3,2.1501994132995605,19,2,2,1,70,1,4,1,24,3
FALSE,0.5,162,9,9,0,9,3.157403945922852,20,2,1,0,80,0,9,0,81,2
FALSE,0.5,162,9,9,0,9,4.341300010681152,20,2,1,1,70,0,9,0,81,3
FALSE,0.5,32,3,4,0,4,1.1886988878250122,20,2,2,0,80,1,4,1,16,2
FALSE,0.25,32,4,3,0,3,3.516601085662842,20,2,2,1,70,1,4,-1,16,3
TRUE,0.5,-20,9,9,0,9,2.665199279785156,21,2,1,0,80,0,9,0,-10,2
TRUE,0.5,-20,9,9,0,9,5.258200645446777,21,2,1,1,70,0,9,0,-10,3
FALSE,0.5,18,3,3,0,5,1.176299214363098,21,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,4.066600322723389,21,2,2,1,70,1,3,0,9,3
FALSE,0.25,128,9,7,0,7,1.9352948665618896,22,2,1,0,80,0,8,-2,64,2
FALSE,1,128,7,9,0,9,2.482800245285034,22,2,1,1,70,0,8,2,96,3
FALSE,0.5,32,4,4,0,4,1.3178983926773071,22,2,2,0,80,1,4,0,16,2
FALSE,0.5,32,4,4,0,3,2.0246999263763428,22,2,2,1,70,1,4,0,16,3
TRUE,0.75,-20,9,9,0,-1,2.6694986820220947,23,2,1,0,80,0,9,0,-15,2
TRUE,0.5,-20,9,9,0,9,3.016400098800659,23,2,1,1,70,0,9,0,-10,3
FALSE,0.5,32,3,4,0,5,1.1051995754241943,23,2,2,0,80,1,4,1,16,2
FALSE,0.25,32,4,3,0,4,2.2251996994018555,23,2,2,1,70,1,4,-1,16,3
TRUE,0.5,-20,9,9,0,6,2.394097089767456,24,2,1,0,80,0,9,0,-10,2
TRUE,0.5,-20,9,9,0,7,2.4415998458862305,24,2,1,1,70,0,9,0,-10,3
FALSE,0.5,32,4,3,0,4,0.946800172,24,2,2,0,80,1,4,-1,16,2
FALSE,0.5,32,3,4,0,4,1.7417999505996704,24,2,2,1,70,1,4,1,16,3
TRUE,0.75,-20,4,7,0,5,2.694398880004883,25,2,1,0,80,0,6,3,-15,2
TRUE,0.5,-20,7,4,0,9,2.2158992290496826,25,2,1,1,70,0,6,-3,-5,3
FALSE,0.5,50,5,4,0,5,1.0261000394821167,25,2,2,0,80,1,5,-1,25,2
FALSE,0.75,50,4,5,0,4,2.8921995162963867,25,2,2,1,70,1,5,1,38,3
FALSE,0,98,9,4,0,3,2.1021950244903564,26,2,1,0,80,0,7,-5,24,2
FALSE,1,98,4,9,0,6,3.083099603652954,26,2,1,1,70,0,7,5,98,3
FALSE,0.5,32,5,3,0,4,1.217898726463318,26,2,2,0,80,1,4,-2,16,2
FALSE,0.75,32,3,5,0,4,2.1990997791290283,26,2,2,1,70,1,4,2,24,3
TRUE,0.5,-20,9,8,0,9,2.139695882797241,27,2,1,0,80,0,9,-1,-10,2
TRUE,0.5,-20,8,9,0,7,2.632601022720337,27,2,1,1,70,0,9,1,-10,3
