attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,1,9.879696846,-10,1,18
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,10,2.0896012783050537,39,10,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,100,1.5877996683120728,1088,100,18
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,101,1.6565001010894775,1078,101,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,102,0.7541000843048096,1094,102,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,103,1.4545000791549685,1084,103,18
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,104,3.623699665,1074,104,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,105,2.355999231338501,1064,105,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,106,1.8712999820709229,1080,106,18
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,107,1.2044001817703247,1089,107,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,108,1.5719996690750122,1105,108,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,109,1.1381999254226685,1121,109,18
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,11,3.4905991554260254,55,11,18
TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,110,2.3059003353118896,1111,110,18
TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,111,2.755499839782715,1101,111,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,112,1.8220998048782349,1091,112,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,113,1.6547001600265503,1081,113,18
FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,114,1.7544995546340942,1162,114,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,115,2.4221997261047363,1152,115,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,116,1.872900485992432,1168,116,18
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,117,1.2705000638961792,1177,117,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,118,2.389899253845215,1167,118,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,119,1.255000114440918,1157,119,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,12,3.7232978343963614,71,12,18
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,120,0.6195999979972839,1173,120,18
FALSE,4.800000190734863,7,1,0,1,1,13,3.1559982299804688,72,13,18
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,14,1.6219993829727173,81,14,18
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,15,1.5720999240875244,97,15,18
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,16,1.7550002336502075,122,16,18
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,17,2.089799642562866,147,17,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,18,2.357099294662476,137,18,18
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,19,3.273900032043457,127,19,18
FALSE,4.800000190734863,7,2,0,1,4,2,3.629599332809448,-6,2,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,20,1.621500015258789,143,20,18
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,21,2.2047994136810303,168,21,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,22,4.5901970863342285,158,22,18
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,23,2.855900526046753,194,23,18
FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,24,3.589798689,230,24,18
TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,25,3.257000684738159,220,25,18
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,26,2.654799699783325,236,26,18
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,27,1.955700159072876,272,27,18
FALSE,4.800000190734863,7,2,0,1,4,28,2.371999263763428,276,28,18
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,29,1.403800368309021,301,29,18
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,3,26.83057213,10,3,18
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,30,1.4382001161575315,317,30,18
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,31,1.9222992658615112,326,31,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,32,1.7372996807098389,316,32,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,33,2.021599769592285,306,33,18
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,34,2.8222994804382324,331,34,18
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,35,1.3203004598617554,356,35,18
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,36,2.172199487686157,365,36,18
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,37,3.907499074935913,355,37,18
TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,38,2.121600151062012,345,38,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,39,3.2238998413085938,335,39,18
TRUE,4.800000190734863,7,7,0.768000066,1,-10,4,16.003307342529297,0,4,18
FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,40,1.8889002799987795,416,40,18
TRUE,2.5999999046325684,7,3,0.1040000021457672,0,-10,41,2.422299623,406,41,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,42,3.022599935531616,396,42,18
TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,43,2.504599571228028,386,43,18
TRUE,4.800000190734863,7,9,1.2000000476837158,1,-10,44,2.605798959732056,376,44,18
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,45,0.8537999391555786,385,45,18
FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,46,1.1201001405715942,394,46,18
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,47,2.4391989707946777,384,47,18
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,48,0.9717000722885132,400,48,18
FALSE,2.5999999046325684,7,2,0,0,4,49,1.4378002882003784,404,49,18
FALSE,4.800000190734863,7,2,0,1,4,5,23.18291664123535,4,5,18
FALSE,4.800000190734863,7,2,0,1,4,50,1.0711002349853516,408,50,18
