,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,split_rt,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,subID
0,FALSE,0.75,50,4,5,4,1.667999505996704,1.4326996803283691,13,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.3836002349853516,1.7158998250961304,13,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,1.083400011062622,1.4683998823165894,14,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.8167000412940979,1.4176000356674194,14,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.584700107574463,1.367900252342224,14,1,2,0,70,0,5,1,0
0,FALSE,0.25,50,5,4,5,1.3848004341125488,1.3674001693725586,14,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,4,4,4,3.402299642562866,2.051699638366699,15,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,0.8829999566078186,1.317500352859497,15,1,1,1,70,1,4,0,1
0,FALSE,0.5,32,3,5,5,3.268798828,1.7508001327514648,15,1,2,0,70,0,4,2,0
0,FALSE,0.5,32,5,3,4,1.2492002248764038,4.5833001136779785,15,1,2,1,70,0,4,-2,1
0,FALSE,0.5,32,4,4,4,3.0358989238739014,1.2178000211715698,16,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,0.8489000201225281,1.2666999101638794,16,1,1,1,70,1,4,0,1
0,FALSE,0.5,50,5,5,3,2.1023993492126465,2.485900640487671,16,1,2,0,70,0,5,0,0
0,FALSE,0.75,50,5,5,5,0.9827001094818116,1.516499400138855,16,1,2,1,70,0,5,0,1
0,FALSE,0.75,32,3,4,4,2.851999521255493,1.0522000789642334,17,1,1,0,70,1,4,1,0
0,FALSE,0.5,32,4,3,4,1.1834999322891235,3.3993990421295166,17,1,1,1,70,1,4,-1,1
0,FALSE,0.75,50,4,5,4,1.5843998193740845,1.8680999279022217,17,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.233200192451477,2.566800594329834,17,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,4,4,4,3.318699598312378,1.2018001079559326,18,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,1.5665004253387451,1.533400058746338,18,1,1,1,70,1,4,0,1
