,ptn_rating,svo_value,svo_type,utility,trait,ius_score,subID
188,6,37.48241142771847,prosocial,20,45,70,198
189,0,35.01153510908234,prosocial,20,76,84,211
190,7,37.48241142771847,prosocial,28,54,84,213
191,8,35.01153510908234,prosocial,20,54,90,202
192,9,28.610459665965216,prosocial,20,23,104,216
193,5,45,prosocial,26,33,44,218
194,7,15.44983598065655,individualistic,30,51,70,177
195,9,37.48241142771847,prosocial,inf,29,58,201
196,8,31.08454857977773,prosocial,inf,31,77,214
197,9,35.01153510908234,prosocial,30,25,41,206
198,7,35.01153510908234,prosocial,24,36,63,215
199,8,19.482434262602254,individualistic,,62,97,220
200,9,37.48241142771847,prosocial,20,38,83,217
201,5,26.976503921069718,prosocial,inf,29,46,212
202,7,35.01153510908234,prosocial,20,39,42,224
203,8,35.01153510908234,prosocial,26,31,64,223
204,10,28.610459665965216,prosocial,inf,45,75,221
205,7,37.48241142771847,prosocial,30,64,83,222
206,7,30.34864142817782,prosocial,20,46,81,192
207,6,37.48241142771847,prosocial,22,38,69,232
208,9,38.58539819266029,prosocial,20,39,50,231
209,10,45,prosocial,26,41,51,219
210,10,37.01361585490981,prosocial,24,28,42,172
211,10,35.76170706870689,prosocial,24,36,41,230
212,10,35.01153510908234,prosocial,22,25,41,225
213,3,40.072890052350985,prosocial,26,60,94,235
214,7,39.35945056784317,prosocial,inf,43,95,226
215,6,7.815293546766881,competitive,18,55,61,233
216,9,0,competitive,20,50,93,234
217,7,7.815293546766881,competitive,,36,36,236
218,8,38.46519018629743,prosocial,20,34,59,238
219,2,33.95501721899765,prosocial,inf,57,91,240
220,8,37.48241142771847,prosocial,22,32,50,239
221,9,33.42075914728432,prosocial,18,48,63,229
222,10,8.820379552021056,competitive,20,62,118,227
223,9,35.01153510908234,prosocial,30,25,42,245
224,9,37.48241142771847,prosocial,22,47,61,246
225,3,30.34864142817782,prosocial,26,35,72,243
226,7,5.2222019445867724,competitive,22,37,55,242
227,9,40.60129464500447,prosocial,20,55,83,244
228,8,14.17514205525248,individualistic,20,33,56,
229,10,11.117342343847199,competitive,inf,24,77,241
230,7,35.01153510908234,prosocial,24,50,97,248
231,7,32.69198418257208,prosocial,24,35,59,247
232,6,26.565051177077976,prosocial,24,29,53,
233,9,26.31808813965173,prosocial,20,47,71,249
234,10,11.680260148566317,competitive,,49,64,250
