,room,predatorType,selfBlame,blame_async,subID,abs_player_partner_diff,idvStep,idvMoney,idv_attack,playerStep,jointMoney,finalStep,partnerStep,attack,risky_wpair,risky_abs,grp_idv_step_diff,grp_idv_reward_diff,grp_idv_attack_diff,self_partner_risk_diff,abs_prediction_error,playerStep_var,partnerStep_var,idvStep_var,finalStep_var,abs_ppd_var
0,242,0,0.6,0.24166666666666667,400,2.3333333333333335,6.777777777777778,15.644444444444444,0.4888888888888889,5.482758620689655,22.93103448275862,4.655172413793103,3.2758620689655173,0.1724137931034483,higher,high,-1.2950191570881229,7.286590038314175,-0.3164750957854406,3.0888888888888886,1.7,4.533333333333334,0.40919540229885054,4.985990338164251,1.2747126436781613,4.160919540229885
1,242,1,0.55,0.24166666666666667,400,2.466666666666667,6.377777777777778,1.0888888888888888,0.6222222222222222,5.466666666666667,28.266666666666666,5.2,4.2,0.5333333333333333,higher,high,-0.9111111111111114,27.177777777777777,-0.0888888888888889,2.733333333333334,1.9333333333333333,3.774712643678162,2.717241379310345,5.376767676767677,1.2689655172413794,3.4298850574712643
2,236,0,0.5375,0.05,401,0.9333333333333333,7.466666666666667,23.933333333333334,0.4888888888888889,6.2,36.1,5.966666666666667,5.533333333333333,0.4,higher,high,-1.2666666666666666,12.166666666666668,-0.08888888888888885,1.333333333333333,0.5,1.475862068965517,0.9471264367816083,0.6980676328502415,0.5160919540229885,2.61609195402299
3,236,1,0.49583333333333335,0.05,401,0.06666666666666667,4.066666666666666,11.577777777777778,0.17777777777777778,3.966666666666667,16.0,4.0,3.966666666666667,0.4,lower,low,-0.09999999999999964,4.4222222222222225,0.22222222222222224,-0.1111111111111116,0.06666666666666667,0.03333333333333332,0.03333333333333332,0.06363636363636371,0.0,0.06436781609195402
4,243,0,0.4666666666666667,0.25833333333333336,402,2.8,5.111111111111111,15.422222222222222,0.24444444444444444,6.0,40.6,6.0,5.666666666666667,0.4666666666666667,higher,low,0.8888888888888893,25.177777777777777,0.22222222222222224,0.7777777777777777,2.966666666666667,8.000000000000002,8.091954022988507,1.2101449275362317,5.029885057471264,4.575862068965518
5,243,1,0.4583333333333333,0.25833333333333336,402,1.9666666666666666,2.8444444444444446,7.666666666666667,0.06666666666666667,2.4642857142857144,13.178571428571429,3.4642857142857144,4.142857142857143,0.32142857142857145,lower,low,-0.38015873015873014,5.511904761904762,0.2547619047619048,-0.3555555555555556,2.6785714285714284,0.9471264367816091,4.447126436781608,1.952525252525252,1.0850574712643677,4.102298850574713
6,248,0,0.7083333333333334,0.37916666666666665,403,2.1666666666666665,5.7555555555555555,18.42222222222222,0.3333333333333333,5.266666666666667,21.866666666666667,4.6,3.3666666666666667,0.2,higher,low,-0.48888888888888893,3.4444444444444464,-0.1333333333333333,1.7999999999999998,1.5333333333333334,0.5471264367816091,2.3091954022988506,2.357971014492753,0.731034482758621,1.7988505747126438
7,248,1,0.6375,0.37916666666666665,403,3.4,5.866666666666666,14.422222222222222,0.4222222222222222,5.633333333333334,17.4,4.133333333333334,2.2333333333333334,0.3333333333333333,higher,high,-0.2333333333333325,2.977777777777776,-0.0888888888888889,1.9555555555555553,1.3,0.7919540229885058,0.5298850574712645,1.8,0.32643678160919554,1.2057471264367816
8,241,0,0.4666666666666667,0.25,404,1.8666666666666667,2.977777777777778,8.466666666666667,0.044444444444444446,3.3333333333333335,20.3,4.366666666666666,5.066666666666666,0.1,lower,low,0.3555555555555556,11.833333333333334,0.05555555555555556,-2.2888888888888888,2.0,0.2988505747126436,5.029885057471263,0.6202898550724639,1.2747126436781615,5.016091954022989
9,241,1,0.44166666666666665,0.25,404,1.9333333333333333,2.7111111111111112,5.555555555555555,0.1111111111111111,3.6551724137931036,21.82758620689655,4.517241379310345,4.758620689655173,0.41379310344827586,lower,low,0.9440613026819924,16.272030651340998,0.30268199233716475,-2.3999999999999995,1.896551724137931,1.1954022988505748,4.372413793103449,0.482828282828283,1.429885057471265,3.098850574712644
10,206,0,0.4666666666666667,0.15,405,0.7,5.088888888888889,19.444444444444443,0.17777777777777778,4.666666666666667,24.366666666666667,4.9,4.7,0.16666666666666666,higher,low,-0.4222222222222216,4.922222222222224,-0.011111111111111127,0.3555555555555552,0.7241379310344828,0.7126436781609196,0.42413793103448266,2.377294685990338,0.3689655172413796,0.4931034482758621
11,206,1,0.4583333333333333,0.15,405,1.1666666666666667,2.422222222222222,4.2444444444444445,0.08888888888888889,4.033333333333333,22.966666666666665,4.766666666666667,4.8,0.4,lower,low,1.6111111111111112,18.72222222222222,0.3111111111111111,-1.7333333333333338,0.9666666666666667,0.8609195402298851,0.44137931034482764,0.431313131313131,0.2540229885057472,0.6954022988505746
12,240,0,0.5125,0.24166666666666667,406,1.6,5.733333333333333,23.755555555555556,0.26666666666666666,4.966666666666667,22.433333333333334,4.566666666666666,3.6333333333333333,0.3,higher,low,-0.7666666666666666,-1.3222222222222229,0.033333333333333326,1.7333333333333334,1.4333333333333333,4.585057471264369,0.7229885057471265,4.402415458937197,1.6333333333333333,2.3172413793103446
