attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,share,split_rt,step_rt,trial,room,block,playerID,predatorType,player_partner_diff,finalStep,subID
FALSE,0.25,32,4,3,4,0,2.0819990634918213,1.767999291419983,27,1,1,1,1,-1,4,16
FALSE,0.5,32,3,4,4,0,1.4324003458023071,1.100299835205078,27,1,1,0,1,1,4,61
FALSE,0.5,32,4,4,4,0,2.299998998641968,2.165998697280884,28,1,1,1,1,0,4,16
FALSE,0.5,32,4,4,4,0,1.134100079536438,1.051399827003479,28,1,1,0,1,0,4,61
TRUE,0,32,4,4,4,0,6.365006446838379,2.648998260498047,29,1,1,1,1,0,4,16
TRUE,0.5,32,4,4,4,0,1.150300384,1.0666998624801636,29,1,1,0,1,0,4,61
TRUE,0.5,32,4,4,4,0,2.881998538970948,2.399998903274536,30,1,1,1,1,0,4,16
TRUE,0.5,32,4,4,4,0,1.466499686,1.1510002613067627,30,1,1,0,1,0,4,61
FALSE,0.75,50,4,6,4,0,1.5829994678497314,1.949999094,1,1,2,1,0,2,5,16
FALSE,0.25,50,6,4,4,0,2.5663998126983643,1.4158998727798462,1,1,2,0,0,-2,5,61
FALSE,0.75,50,4,6,4,0,1.216999888420105,1.4339994192123413,2,1,2,1,0,2,5,16
FALSE,0.25,50,6,4,4,0,1.849599838256836,1.082900047302246,2,1,2,0,0,-2,5,61
TRUE,1,72,4,7,4,0,2.4829986095428467,2.365999460220337,3,1,2,1,0,3,6,16
TRUE,0.5,72,7,4,4,0,1.8325999975204468,1.084299921989441,3,1,2,0,0,-3,6,61
FALSE,0.5,50,4,5,4,0,1,1.183999777,4,1,2,1,0,1,5,16
FALSE,0.25,50,5,4,4,0,1.1328997611999512,0.966499925,4,1,2,0,0,-1,5,61
FALSE,0.75,50,4,6,4,0,1.8829991817474363,1.6329994201660156,5,1,2,1,0,2,5,16
FALSE,0.25,50,6,4,4,0,2.2177000045776367,1.0510998964309692,5,1,2,0,0,-2,5,61
TRUE,0.75,50,4,6,4,0,1.5499995946884155,1.7839993238449097,6,1,2,1,0,2,5,16
TRUE,0.5,50,6,4,4,0,2.450199842453003,1.017200231552124,6,1,2,0,0,-2,5,61
TRUE,1,72,4,7,4,0,1.4159997701644895,1.9339990615844729,7,1,2,1,0,3,6,16
